PLAYER,PTS,Salary,Position
LeGarrette Blount,11.4,4900,RB
Rams,11.8,3600,Defense
Rob Gronkowski,11.8,8000,TE
Matt Cassel,11.9,5000,QB
Odell Beckham Jr.,12,8800,WR
Demaryius Thomas,12,7400,WR
DeAndre Hopkins,12.2,8700,WR
Julian Edelman,12.2,8200,WR
Landry Jones,12.3,5300,QB
A.J. Green,12.7,7600,WR
Teddy Bridgewater,12.8,5100,QB
Adrian Peterson,12.9,7100,RB
Mark Ingram,13,6400,RB
Jay Cutler,13.2,5100,QB
Darren McFadden,13.2,4900,RB
Alex Smith,13.3,5000,QB
DeMarco Murray,13.6,6200,RB
Sam Bradford,13.6,5700,QB
Marcus Mariota,13.7,5300,QB
Josh McCown,13.9,5000,QB
Justin Forsett,14,6000,RB
Matthew Stafford,14,5400,QB
Ryan Tannehill,14.4,5300,QB
Tyrod Taylor,14.6,5500,QB
Joe Flacco,14.9,5500,QB
Russell Wilson,15.3,5900,QB
Brian Hoyer,15.3,5400,QB
Ryan Fitzpatrick,15.3,5100,QB
DeAngelo Williams,15.5,6500,RB
Carson Palmer,15.8,6900,QB
Peyton Manning,15.8,6200,QB
Kirk Cousins,15.8,5200,QB
Eli Manning,15.9,6700,QB
Todd Gurley,17.2,7300,RB
Cam Newton,17.3,7000,QB
Derek Carr,17.3,5800,QB
Blake Bortles,17.6,5600,QB
Drew Brees,17.8,7400,QB
Andy Dalton,19,6500,QB
Tom Brady,22.4,8600,QB
Aaron Rodgers,22.8,7500,QB
