"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"WR","Deonte Thompson",3000,"Den@Chi 01:00PM ET",0,"Chi"
"WR","Dontrelle Inman",3000,"KC@SD 04:05PM ET",4.250,"SD"
"WR","Jeremy Kerley",3000,"NYJ@Hou 01:00PM ET",4.800,"NYJ"
"RB","Travaris Cadet",3000,"SF@Sea 04:25PM ET",1.200,"SF"
"RB","Anthony Sherman",3000,"KC@SD 04:05PM ET",0.367,"KC"
"RB","Will Tukuafu",3000,"SF@Sea 04:25PM ET",0.886,"Sea"
"RB","Bilal Powell",3000,"NYJ@Hou 01:00PM ET",7.360,"NYJ"
"RB","Bobby Rainey",3000,"TB@Phi 01:00PM ET",0.656,"TB"
"RB","Roy Helu Jr.",3000,"Oak@Det 01:00PM ET",3.133,"Oak"
"RB","Patrick DiMarco",3000,"Ind@Atl 01:00PM ET",1.100,"Atl"
"RB","George Winn",3000,"Oak@Det 01:00PM ET",0.000,"Det"
"RB","Kenjon Barner",3000,"TB@Phi 01:00PM ET",0.000,"Phi"
"WR","Brice Butler",3000,"Dal@Mia 01:00PM ET",3.450,"Dal"
"RB","Zach Line",3000,"GB@Min 04:25PM ET",2.178,"Min"
"WR","Brenton Bersin",3000,"Was@Car 01:00PM ET",1.950,"Car"
"RB","Derrick Coleman",3000,"SF@Sea 04:25PM ET",0.171,"Sea"
"RB","Jonathan Grimes",3000,"NYJ@Hou 01:00PM ET",4.457,"Hou"
"WR","Jaron Brown",3000,"Cin@Ari 08:30PM ET",3.089,"Ari"
"WR","Jarius Wright",3000,"GB@Min 04:25PM ET",3.922,"Min"
"TE","Ladarius Green",3000,"KC@SD 04:05PM ET",12.343,"SD"
"WR","Russell Shepard",3000,"TB@Phi 01:00PM ET",0.267,"TB"
"WR","Mohamed Sanu",3000,"Cin@Ari 08:30PM ET",6.878,"Cin"
"RB","Zurlon Tipton",3000,"Ind@Atl 01:00PM ET",0.150,"Ind"
"RB","Knile Davis",3000,"KC@SD 04:05PM ET",1.938,"KC"
"RB","Tommy Bohanon",3000,"NYJ@Hou 01:00PM ET",0.956,"NYJ"
"WR","Ryan Grant",3000,"Was@Car 01:00PM ET",4.711,"Was"
"RB","Rex Burkhead",3000,"Cin@Ari 08:30PM ET",1.044,"Cin"
"RB","Benny Cunningham",3000,"StL@Bal 01:00PM ET",4.522,"StL"
"RB","Kendall Gaskins",3000,"SF@Sea 04:25PM ET",3.150,"SF"
"RB","Kyle Juszczyk",3000,"StL@Bal 01:00PM ET",6.067,"Bal"
"RB","Bryce Brown",3000,"SF@Sea 04:25PM ET",0,"Sea"
"RB","Stepfan Taylor",3000,"Cin@Ari 08:30PM ET",0.278,"Ari"
"RB","Zac Stacy",3000,"NYJ@Hou 01:00PM ET",3.800,"NYJ"
"RB","Brandon Wegher",3000,"Was@Car 01:00PM ET",0,"Car"
"WR","Kevin Norwood",3000,"Was@Car 01:00PM ET",0.000,"Car"
"RB","Christine Michael",3000,"Dal@Mia 01:00PM ET",1.260,"Dal"
"WR","Bennie Fowler",3000,"Den@Chi 01:00PM ET",3.189,"Den"
"WR","Jared Abbrederis",3000,"GB@Min 04:25PM ET",1.940,"GB"
"WR","Nick Williams",3000,"Ind@Atl 01:00PM ET",2.350,"Atl"
"WR","Devin Street",3000,"Dal@Mia 01:00PM ET",1.844,"Dal"
"WR","Chris Matthews",3000,"SF@Sea 04:25PM ET",1.044,"Sea"
"RB","Spencer Ware",3000,"KC@SD 04:05PM ET",2.100,"KC"
"WR","Kenny Stills",3000,"Dal@Mia 01:00PM ET",5.544,"Mia"
"RB","Jay Prosch",3000,"NYJ@Hou 01:00PM ET",0.311,"Hou"
"WR","TJ Jones",3000,"Oak@Det 01:00PM ET",0.160,"Det"
"WR","Kenbrell Thompkins",3000,"NYJ@Hou 01:00PM ET",6.600,"NYJ"
"WR","Rod Streater",3000,"Oak@Det 01:00PM ET",1.800,"Oak"
"RB","Rod Smith",3000,"Dal@Mia 01:00PM ET",0.125,"Dal"
"WR","Joshua Bellamy",3000,"Den@Chi 01:00PM ET",2.500,"Chi"
"WR","Javontee Herndon",3000,"KC@SD 04:05PM ET",2.200,"SD"
"WR","Josh Huff",3000,"TB@Phi 01:00PM ET",5.925,"Phi"
"RB","Juwan Thompson",3000,"Den@Chi 01:00PM ET",0.450,"Den"
"RB","Michael Burton",3000,"Oak@Det 01:00PM ET",0.344,"Det"
"WR","Albert Wilson",3000,"KC@SD 04:05PM ET",5.300,"KC"
"WR","DeAndrew White",3000,"SF@Sea 04:25PM ET",0.950,"SF"
"WR","Matt Hazel",3000,"Dal@Mia 01:00PM ET",0,"Mia"
"WR","Keith Mumphery",3000,"NYJ@Hou 01:00PM ET",2.989,"Hou"
"WR","Justin Hardy",3000,"Ind@Atl 01:00PM ET",4.900,"Atl"
"WR","J.J. Nelson",3000,"Cin@Ari 08:30PM ET",2.250,"Ari"
"WR","Cecil Shorts III",3000,"NYJ@Hou 01:00PM ET",10.917,"Hou"
"WR","Andre Holmes",3000,"Oak@Det 01:00PM ET",5.011,"Oak"
"WR","Corey Fuller",3000,"Oak@Det 01:00PM ET",1.013,"Det"
"RB","Jamize Olawale",3000,"Oak@Det 01:00PM ET",3.414,"Oak"
"WR","Paul Richardson",3000,"SF@Sea 04:25PM ET",5.000,"Sea"
"WR","Cameron Meredith",3000,"Den@Chi 01:00PM ET",2.500,"Chi"
"RB","Jerick McKinnon",3000,"GB@Min 04:25PM ET",2.144,"Min"
"WR","Corey Brown",3000,"Was@Car 01:00PM ET",6.800,"Car"
"RB","Terron Ward",3000,"Ind@Atl 01:00PM ET",2.567,"Atl"
"WR","Chris Conley",3000,"KC@SD 04:05PM ET",4.000,"KC"
"WR","Quan Bray",3000,"Ind@Atl 01:00PM ET",0.000,"Ind"
"RB","Tre Mason",3000,"StL@Bal 01:00PM ET",3.086,"StL"
"RB","Ka'Deem Carey",3000,"Den@Chi 01:00PM ET",1.480,"Chi"
"WR","Phillip Dorsett",3000,"Ind@Atl 01:00PM ET",4.729,"Ind"
"WR","Rashad Ross",3000,"Was@Car 01:00PM ET",2.657,"Was"
"WR","Ty Montgomery",3000,"GB@Min 04:25PM ET",7.000,"GB"
"WR","Adam Humphries",3000,"TB@Phi 01:00PM ET",3.800,"TB"
"WR","DeVante Parker",3000,"Dal@Mia 01:00PM ET",1.113,"Mia"
"RB","Alonzo Harris",3000,"GB@Min 04:25PM ET",0.317,"GB"
"WR","Bruce Ellington",3000,"SF@Sea 04:25PM ET",2.350,"SF"
"WR","Tyler Lockett",3000,"SF@Sea 04:25PM ET",7.122,"Sea"
"RB","Aaron Ripkowski",3000,"GB@Min 04:25PM ET",0.311,"GB"
"WR","Bradley Marquez",3000,"StL@Bal 01:00PM ET",0.744,"StL"
"WR","Devin Smith",3000,"NYJ@Hou 01:00PM ET",2.367,"NYJ"
"RB","Raheem Mostert",3000,"StL@Bal 01:00PM ET",0.000,"Bal"
"WR","Jeremy Butler",3000,"StL@Bal 01:00PM ET",3.100,"Bal"
"WR","De'Anthony Thomas",3000,"KC@SD 04:05PM ET",4.967,"KC"
