2,"PLAYER, TEAM POS",OPP,STATUS ET,C/A,YDS,TD,INT,RUSH,YDS,TD,REC,YDS,TD,PTS
33,"Terrance Williams, Dal WR",@Mia,Sun 1:00,0/0,0,0,0,0,0,0,2.6,43.5,0.3,6
34,"Alfred Blue, Hou RB",NYJ,Sun 1:00,0/0,0,0,0,12.2,45.1,0.1,1.4,12.1,0,6
35,"Theo Riddick, Det RB",Oak,Sun 1:00,0/0,0,0,0,3.8,14,0.1,4.6,38.9,0.2,5.8
36,"Jacob Tamme, Atl TE",Ind,Sun 1:00,0/0,0,0,0,0,0,0,4.3,48.1,0.3,5.8
37,"Donte Moncrief, Ind WR",@Atl,Sun 1:00,0/0,0,0,0,0,0,0,4.1,46,0.3,5.8
38,Dolphins D/ST D/ST,Dal,Sun 1:00,0/0,0,0,0,0,0,0,0,0,0,5.7
39,"Dontrelle Inman, SD WR",KC,Sun 4:05,0/0,0,0,0,0,0,0,3.2,49.7,0.3,5.7
40,Falcons D/ST D/ST,Ind,Sun 1:00,0/0,0,0,0,0,0,0,0,0,0,5.7
41,"Robert Woods, Buf WR",@NE,Mon 8:30,0/0,0,0,0,0.2,1.5,0,3.5,47.7,0.3,5.5
42,"Charles Clay, Buf TE",@NE,Mon 8:30,0/0,0,0,0,0,0,0,3.9,42.4,0.3,5.5
2,"PLAYER, TEAM POS",OPP,STATUS ET,C/A,YDS,TD,INT,RUSH,YDS,TD,REC,YDS,TD,PTS
3,"Leonard Hankerson, Atl WR  P",Ind,Sun 1:00,0/0,0,0,0,0,0,0,3.4,42.8,0.2,5.5
4,"Cecil Shorts III, Hou WR",NYJ,Sun 1:00,0/0,0,0,0,0,0,0,3.4,42.2,0.2,5.4
5,"Bilal Powell, NYJ RB  P",@Hou,Sun 1:00,0/0,0,0,0,6.2,26.2,0.1,2.9,22.9,0.1,5.4
6,"Dexter McCluster*, Ten WR, RB  O",@Jax,L 13-19,0/0,0,0,0,5.6,19.5,0.1,3.4,30.9,0.1,5.4
7,"Harry Douglas, Ten WR",@Jax,L 13-19,0/0,0,0,0,0.3,1.7,0,3.2,40.1,0.2,5.4
8,Ravens D/ST D/ST,StL,Sun 1:00,0/0,0,0,0,0,0,0,0,0,0,5.4
9,"Rishard Matthews, Mia WR",Dal,Sun 1:00,0/0,0,0,0,0.1,0.8,0,4,48,0.2,5.3
